Acct,Ticker,Currency,Margin %,Date,Trans Type,Shares,Strike/Price,Expiry,Net Gains,Notes
PAPER,YZINV,CAD,0,2021-09-28,Cash,0,0,9999-12-31,"-10,000.00",Invest - FX Conversion
PAPER,YZINV,USD,0,2021-09-28,Cash,0,0,9999-12-31,"7,774.10",Invest - FX Conversion
PAPER,YZINV,CAD,0,2021-09-28,Cash,0,0,9999-12-31,"10,000.00",Invest - Pre Convert
LOC,LOC,CAD,0,2021-09-28,LOC,0,0,9999-12-31,"96,008.00",LOC - Assumed Starting Balance
PAPER,YZINV,CAD,0,2021-10-01,Cash,0,0,9999-12-31,"-20,000.00",Invest - FX Conversion
PAPER,YZINV,USD,0,2021-10-01,Cash,0,0,9999-12-31,"15,618.90",Invest - FX Conversion
PAPER,YZINV,CAD,0,2021-10-01,Cash,0,0,9999-12-31,"20,000.00",Invest - Pre Convert
PAPER,FAZ,USD,1,2021-10-04,Call,100,20,2022-01-21,373.79,
PAPER,PYPL,USD,0.3,2021-10-07,Put,100,260,2021-11-05,983.79,
PAPER,MSFT,USD,0.3,2021-10-18,Put,100,305,2021-11-19,818.79,
PAPER,PYPL,USD,0.3,2021-10-25,Put,-100,260,2021-11-05,"-2,033.20",
PAPER,PYPL,USD,0.3,2021-10-25,Put,100,260,2022-01-21,"2,648.78",
LOC,LOC,CAD,0,2021-10-28,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,MSFT,USD,0.3,2021-11-05,Put,-100,305,2021-11-19,-44.2,
PAPER,MSFT,USD,0.3,2021-11-05,Put,100,340,2021-12-17,"1,133.79",
LOC,LOC,CAD,0,2021-11-27,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,YZINV,CAD,0,2021-12-06,Cash,0,0,9999-12-31,"3,000.00",Invest - Pre Convert
PAPER,MSFT,USD,0.3,2021-12-16,Put,-100,340,2021-12-17,"-1,411.20",
PAPER,MSFT,USD,0.3,2021-12-16,Put,100,340,2022-02-18,"2,323.78",
LOC,LOC,CAD,0,2021-12-27,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,YZINV,CAD,0,2022-01-18,Cash,0,0,9999-12-31,"5,000.00",Invest - Pre Convert
PAPER,PYPL,USD,0.3,2022-01-21,Put,-100,260,2022-01-21,"-9,539.20",
PAPER,FAZ,USD,1,2022-01-21,Call,-100,20,2022-01-21,-208.16,
PAPER,PYPL,USD,0.3,2022-01-24,Put,100,260,2022-07-15,"9,596.75",
LOC,LOC,CAD,0,2022-01-26,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,FAZ,USD,1,2022-01-26,Call,100,16,2022-04-16,303.79,
PAPER,PYPL,USD,0.3,2022-02-04,Put,-100,260,2022-07-15,0,
PAPER,PYPL,USD,0.3,2022-02-04,Stk,100,0,9999-12-31,"-26,008.20",
PAPER,YZINV,CAD,0,2022-02-16,Cash,0,0,9999-12-31,"10,000.00",Invest - Pre Convert
PAPER,MSFT,USD,0.3,2022-02-18,Put,-100,340,2022-02-18,"-4,953.20",
PAPER,MSFT,USD,0.3,2022-02-18,Put,100,340,2022-08-19,"5,564.77",
PAPER,PYPL,USD,0.3,2022-02-22,Call,100,155,2022-07-15,143.79,
LOC,LOC,CAD,0,2022-02-25,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
LOC,LOC,CAD,0,2022-03-27,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,FAZ,USD,1,2022-04-16,Call,-100,16,2022-04-16,-473.2,
PAPER,FAZ,USD,1,2022-04-18,Call,100,16,2022-06-17,480.79,
LOC,LOC,CAD,0,2022-04-26,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,YZINV,CAD,0,2022-04-28,Cash,0,0,9999-12-31,"2,000.00",Invest - Pre Convert
LOC,LOC,CAD,0,2022-05-26,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,YZINV,CAD,0,2022-06-15,Cash,0,0,9999-12-31,"5,000.00",Invest - Pre Convert
PAPER,MSFT,USD,0.3,2022-06-16,Put,-100,340,2022-08-19,"-9,094.72",
PAPER,MSFT,USD,0.3,2022-06-16,Put,100,340,2023-09-15,"9,333.58",
PAPER,FAZ,USD,1,2022-06-17,Call,-100,16,2022-06-17,"-1,622.20",
PAPER,FAZ,USD,1,2022-06-21,Call,100,16,2022-10-21,"1,618.76",
LOC,LOC,CAD,0,2022-06-25,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,PYPL,USD,0.3,2022-07-15,Call,-100,155,2022-07-15,0,
LOC,LOC,CAD,0,2022-07-25,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
LOC,LOC,CAD,0,2022-08-24,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,PYPL,USD,0.3,2022-09-15,Call,100,130,2022-11-18,86.79,
LOC,LOC,CAD,0,2022-09-23,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,FAZ,USD,1,2022-10-05,Call,-100,16,2022-10-21,-891.2,
PAPER,FAZ,USD,1,2022-10-05,Call,100,16,2023-06-16,999.77,
