Acct,Ticker,Currency,Margin %,Date,Trans Type,Shares,Strike/Price,Expiry,Net Gains,Notes,
PAPER,NTINV,USD,0.00,2021-10-07,Cash,0 ,0.00 ,9999-12-31,"2,451.23 ",Invest - Pre Convert,
PAPER,BABA,USD,0.30,2021-10-07,Stk,17 ,0.00 ,,"-2,451.23 ",stock from TFSA to fund acct,
PAPER,NTINV,USD,0.00,2021-10-07,Cash,0 ,0.00 ,9999-12-31,"9,681.62 ",Invest - Pre Convert,
PAPER,META,USD,0.30,2021-10-07,Stk,29 ,0.00 ,,"-9,681.62 ",stock from TFSA to fund acct,
PAPER,NTINV,USD,0.00,2021-10-07,Cash,0 ,0.00 ,9999-12-31,"14,105.57 ",Invest - Pre Convert,
PAPER,TWTR,USD,0.30,2021-10-07,Stk,230 ,0.00 ,,"-14,105.57 ",stock from TFSA to fund acct,
LOC,LOC,CAD,0.00,2021-10-07,LOC,0 ,0.00 ,9999-12-31,"160,000.00 ",LOC - Assumed Starting Balance,
PAPER,FAZ,USD,1.00,2021-10-13,Call,100 ,20.00 ,2022-01-21,328.79 ,,
LOC,LOC,CAD,0.00,2021-10-13,LOC,0 ,0.00 ,9999-12-31,"2,000.00 ",LOC - Regular Payments,
PAPER,MSFT,USD,0.30,2021-10-18,Put,100 ,305.00 ,2021-11-19,818.79 ,,
PAPER,MSFT,USD,0.30,2021-11-05,Put,-100 ,305.00 ,2021-11-19,-44.20 ,,
PAPER,MSFT,USD,0.30,2021-11-05,Put,100 ,340.00 ,2021-12-17,"1,153.79 ",,
LOC,LOC,CAD,0.00,2021-11-12,LOC,0 ,0.00 ,9999-12-31,"2,000.00 ",LOC - Regular Payments,
LOC,LOC,CAD,0.00,2021-12-12,LOC,0 ,0.00 ,9999-12-31,"2,000.00 ",LOC - Regular Payments,
PAPER,MSFT,USD,0.30,2021-12-16,Put,-100 ,340.00 ,2021-12-17,"-1,181.20 ",,
PAPER,MSFT,USD,0.30,2021-12-16,Put,100 ,340.00 ,2022-02-18,"2,168.78 ",,
LOC,LOC,CAD,0.00,2022-01-11,LOC,0 ,0.00 ,9999-12-31,"2,000.00 ",LOC - Regular Payments,
PAPER,FAZ,USD,1.00,2022-01-19,Call,100 ,16.00 ,2022-04-16,278.79 ,,
PAPER,FAZ,USD,1.00,2022-01-26,Call,-100 ,20.00 ,2022-01-21,-220.16 ,,
LOC,LOC,CAD,0.00,2022-02-10,LOC,0 ,0.00 ,9999-12-31,"2,000.00 ",LOC - Regular Payments,
PAPER,MSFT,USD,0.30,2022-02-18,Put,-100 ,340.00 ,2022-02-18,"-4,530.20 ",,
PAPER,MSFT,USD,0.30,2022-02-18,Put,100 ,340.00 ,2022-05-20,"4,837.77 ",,
PAPER,NTINV,USD,0.00,2022-02-18,Cash,0 ,0.00 ,9999-12-31,"13,679.69 ",Invest - Pre Convert,
PAPER,MSFT,USD,0.30,2022-02-18,Stk,47 ,0.00 ,,"-13,679.69 ",stock from TFSA to fund acct,
LOC,LOC,CAD,0.00,2022-03-12,LOC,0 ,0.00 ,9999-12-31,"2,000.00 ",LOC - Regular Payments,
LOC,LOC,CAD,0.00,2022-04-11,LOC,0 ,0.00 ,9999-12-31,"2,000.00 ",LOC - Regular Payments,
PAPER,FAZ,USD,1.00,2022-04-14,Call,-100 ,16.00 ,2022-04-16,-428.20 ,,
PAPER,FAZ,USD,1.00,2022-04-14,Call,100 ,16.00 ,2022-06-17,449.79 ,,
PAPER,MSFT,USD,0.30,2022-04-14,Put,-100 ,340.00 ,2022-05-20,"-5,486.20 ",,
PAPER,MSFT,USD,0.30,2022-04-14,Put,100 ,340.00 ,2022-08-19,"5,704.77 ",,
LOC,LOC,CAD,0.00,2022-05-11,LOC,0 ,0.00 ,9999-12-31,"2,000.00 ",LOC - Regular Payments,
PAPER,MSFT,USD,0.00,2022-06-09,Div,0 ,0.00 ,,29.14 ,,
PAPER,MSFT,USD,0.00,2022-06-09,Int / Tax,0 ,0.00 ,,-4.37 ,,
LOC,LOC,CAD,0.00,2022-06-10,LOC,0 ,0.00 ,9999-12-31,"2,000.00 ",LOC - Regular Payments,
PAPER,MSFT,USD,0.30,2022-06-16,Put,-100 ,340.00 ,2022-08-19,"-9,100.70 ",,
PAPER,MSFT,USD,0.30,2022-06-16,Put,100 ,340.00 ,2023-09-15,"9,323.58 ",,
PAPER,FAZ,USD,1.00,2022-06-21,Call,-100 ,16.00 ,2022-06-17,"-1,344.20 ",,
PAPER,FAZ,USD,1.00,2022-06-21,Call,100 ,16.00 ,2022-10-21,"1,346.76 ",,
LOC,LOC,CAD,0.00,2022-07-10,LOC,0 ,0.00 ,9999-12-31,"2,000.00 ",LOC - Regular Payments,
LOC,LOC,CAD,0.00,2022-08-09,LOC,0 ,0.00 ,9999-12-31,"2,000.00 ",LOC - Regular Payments,
PAPER,MSFT,USD,0.00,2022-09-08,Div,0 ,0.00 ,,29.14 ,,
PAPER,MSFT,USD,0.00,2022-09-08,Int / Tax,0 ,0.00 ,,-4.37 ,,
LOC,LOC,CAD,0.00,2022-09-08,LOC,0 ,0.00 ,9999-12-31,"2,000.00 ",LOC - Regular Payments,
PAPER,NTINV,CAD,0.00,2022-10-03,Cash,0 ,0.00 ,9999-12-31,"2,300.00 ",Invest - Pre Convert,
PAPER,FAZ,USD,1.00,2022-10-05,Call,-100 ,16.00 ,2022-10-21,"-1,215.20 ",,
PAPER,FAZ,USD,1.00,2022-10-05,Call,100 ,16.00 ,2023-06-16,"1,298.77 ",,
PAPER,TWTR,USD,0.30,2022-10-07,Stk,-230 ,0.00 ,,"14,105.57 ",,
PAPER,TWTR,USD,0.30,2022-10-07,Cap Gains,,0.00 ,,"-1,639.57 ","sold stock (profit from BV TFSA, loss margin BV)",
LOC,LOC,CAD,0.00,2022-10-08,LOC,0 ,0.00 ,9999-12-31,"2,000.00 ",LOC - Regular Payments,
LOC,LOC,CAD,0.00,2022-11-07,LOC,0 ,0.00 ,9999-12-31,"2,000.00 ",LOC - Regular Payments,
PAPER,NTINV,CAD,0.00,2022-11-23,Cash,0 ,0.00 ,9999-12-31,"-2,300.00 ",Personal Withdraw,
PAPER,MSFT,USD,0.30,2022-11-25,Put,-100 ,340.00 ,2023-09-15,"-9,268.89 ",,
PAPER,MSFT,USD,0.30,2022-11-25,Put,100 ,340.00 ,2023-09-15,"9,193.58 ",,
PAPER,MSFT,USD,0.30,2022-11-30,Put,-100 ,340.00 ,2023-09-15,"-10,020.68 ",,
PAPER,MSFT,USD,0.30,2022-11-30,Put,100 ,340.00 ,2023-09-15,"9,968.50 ",,
PAPER,MSFT,USD,0.30,2022-12-07,Put,-100 ,340.00 ,2023-09-15,"-9,483.71 ",,
PAPER,MSFT,USD,0.30,2022-12-07,Put,100 ,340.00 ,2023-09-15,"9,451.58 ",,
PAPER,MSFT,USD,0.00,2022-12-07,Div,0 ,0.00 ,,31.96 ,,
PAPER,MSFT,USD,0.00,2022-12-07,Int / Tax,0 ,0.00 ,,-4.79 ,,
LOC,LOC,CAD,0.00,2022-12-07,LOC,0 ,0.00 ,9999-12-31,"2,000.00 ",LOC - Regular Payments,
PAPER,MSFT,USD,0.30,2022-12-08,Put,-100 ,340.00 ,2023-09-15,"-9,542.39 ",,
PAPER,MSFT,USD,0.30,2022-12-08,Put,100 ,340.00 ,2024-06-21,"9,593.58 ",,
PAPER,MSFT,USD,0.00,2022-12-16,Int / Tax,0 ,0.00 ,,-10.77 ,,
LOC,LOC,CAD,0.00,2023-01-06,LOC,0 ,0.00 ,9999-12-31,"2,000.00 ",LOC - Regular Payments,
PAPER,MSFT,USD,0.30,2023-01-27,Put,-100 ,340.00 ,2024-06-21,"-9,576.67 ",,
PAPER,MSFT,USD,0.30,2023-01-27,Put,100 ,340.00 ,2024-06-21,"9,593.58 ",,
PAPER,MSFT,USD,0.30,2023-01-30,Put,-100 ,340.00 ,2024-06-21,"-9,199.31 ",,
PAPER,MSFT,USD,0.30,2023-01-30,Put,100 ,340.00 ,2024-06-21,"9,198.58 ",,
LOC,LOC,CAD,0.00,2023-02-05,LOC,0 ,0.00 ,9999-12-31,"2,000.00 ",LOC - Regular Payments,
PAPER,MSFT,USD,0.00,2023-02-15,Int / Tax,0 ,0.00 ,,-7.58 ,,
PAPER,MSFT,USD,0.30,2023-03-02,Put,-100 ,340.00 ,2024-06-21,"-9,153.72 ",,
PAPER,MSFT,USD,0.30,2023-03-02,Put,100 ,340.00 ,2024-06-21,"9,143.59 ",,
PAPER,MSFT,USD,0.00,2023-03-02,Int / Tax,0 ,0.00 ,,-10.20 ,,
PAPER,MSFT,USD,0.30,2023-03-03,Put,-100 ,340.00 ,2024-06-21,"-9,238.73 ",,
